순번,지식재산권 명칭,출원구분,출원국,출원일자,출원번호,등록일자,등록번호
184,"도플러 에너지 비율값을 이용한 도플러 영역에 대한 표적 진위 판단 장치 및 방법, 및 이를 이용한 펄스 도플러 레이더",특허,대한민국,2023-02-23,10-2023-0024399,2023-07-14,10-2557452
185,공대공 유도탄의 모의 발사 시스템 및 이를 위한 방법,특허,대한민국,2023-04-17,10-2023-0049886,2023-07-14,10-2557480
186,플레어 사출을 위한 학습 방법 및 학습 장치,특허,대한민국,2023-03-31,10-2023-0043071,2023-07-13,10-2556929
187,공융용매를 이용한 5-치환-1H-테트라졸의 제조방법,특허,대한민국,2021-05-24,10-2021-0066047,2023-07-12,10-2556157
188,안테나 장치,특허,대한민국,2023-01-25,10-2023-0009694,2023-07-12,10-2556438
189,유도탄 발사관의 가스 누출 방지 장치,특허,대한민국,2022-12-16,10-2022-0177191,2023-07-07,10-2554538
190,시편 테스트 시스템,특허,대한민국,2021-03-10,10-2021-0031157,2023-07-06,10-2554356
191,무전해 도금층을 구비한 인공위성 안테나 및 그 제조 방법,특허,대한민국,2022-08-03,10-2022-0096639,2023-07-05,10-2553956
192,착화라인 인터페이스 시험용 장치,특허,대한민국,2021-06-09,10-2021-0074914,2023-07-03,10-2552599
193,적외선 영상에 관한 블러 커널 생성 방법 및 장치,특허,대한민국,2023-01-05,10-2023-0001944,2023-07-03,10-2552683
